"","StationCode","SampleID","SampleDate","H_ASCI","D_ASCI","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Q99","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"199","SMC02536","SMC02536_2011-06-29 00:00:00_1",2011-06-29,0.852415455130948,0.784005884666998,-95,0,0.0951,-12,NA,NA,NA,6.5546,-65,2.0565,-0.0125,-1,-11,0.2,-0.7,-43
"200","SMC02568","SMC02568_06/12/12_1",2012-06-12,0.737462473,0.625777873,-8,0.01,0,-2,NA,NA,NA,0,-0.5,0,-0.0298,0,0,0.01,1.4993,-8
"201","SMC02591","SMC02591_2011-07-21 00:00:00_1",2011-07-21,0.951151290427743,0.881834281369719,0,-0.0107,-2e-04,0,NA,NA,NA,-0.0032,0,-0.0081,0,0,0,0,-1e-04,0
"202","SMC02622","SMC02622_2010-06-15 00:00:00_1",2010-06-15,0.702214543109716,0.65406188275129,-69,-7.2229,-12.273,26,NA,NA,NA,1595.2409,8.5,969.7011,-0.02915,19,55,-3.6612,-4.4846,-76
"203","SMC02712","SMC02712_2012-06-07 00:00:00_1",2012-06-07,0.710822841164497,0.803573559895204,-1,0,0,-1,NA,NA,NA,0,-46,0,0,0,0,0,0,0
"204","SMC02884","SMC02884_06/23/10_1",2010-06-23,0.353261143,0.513603985,155.5,-0.1728,-0.1661,-144,NA,NA,NA,178.6943,-51.5,250.5294,0,142,-54.5,-0.36385,1.94935,20
"205","SMC02902","SMC02902_2011-08-02 00:00:00_1",2011-08-02,0.548856564549985,0.57137057581148,157,0.16805,0.6155,-46.5,1,21.3541,-9,10.3656,-0.5,49.6245,-0.00265,90.5,12.5,-0.21145,-0.2927,-13
"206","SMC02972","SMC02972_2012-07-18 00:00:00_1",2012-07-18,1.13355088777664,0.938901618364849,-7,0,0.01,2,NA,NA,NA,0,0,0,0.0047,0,-1,0,0,-4
"207","SMC02984","SMC02984_2010-06-23 00:00:00_1",2010-06-23,0.642925772575215,0.588939785754196,-15,0,-0.34,-69,NA,NA,NA,57.5673,-81,19.6616,-0.1761,20,26,-0.23,0.2,-57
"208","SMC03011","SMC03011_2013-06-13 00:00:00_1",2013-06-13,0.571698744825379,0.621262429169581,-18,0.0239,0.2596,-45,NA,NA,NA,32.9207,-70,-2.4778,0,47,87,0.4956,3.1315,-18
"209","SMC03216","SMC03216_07/27/11_1",2011-07-27,0.984617103,0.983594137,-1,-0.0084,-0.0086,0,NA,NA,NA,-0.0182,0,-0.007,0,0,0,-0.0076,0.0106,-1
"210","SMC03268","SMC03268_05/28/09_1",2009-05-28,0.460924173,0.326753969,177,-0.508,-0.2808,-127,NA,NA,NA,391.9003,-78.5,306.2032,-1e-04,148.5,-44,8.9933,13.4839,22
"211","SMC03280","SMC03280_08/11/11_1",2011-08-11,1.050676142,1.094679658,-3,-0.0134,-0.0129,0,-7,2.5245,0,-0.00145,-1,-0.0111,0,0,0,-0.0065,-0.0105,0
"212","SMC03304","SMC03304_2011-06-29 00:00:00_1",2011-06-29,0.735957162397977,0.703561092562947,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1246,NA,147,NA,NA,NA,NA
"213","SMC03438","SMC03438_2012-07-02 00:00:00_1",2012-07-02,0.641155251057948,0.690681588742899,-64,0,-0.32,-3,NA,NA,NA,1.1853,-46,-0.8205,-0.2639,-5,-4,0.46,-0.7,-15
"214","SMC03523","SMC03523_2013-06-11 00:00:00_2",2013-06-11,0.530693064546679,0.611198726827407,-36,0.0183,0.0099,-5,-8,-2.4065,-63,38.1653,-48,9.9001,0,61,90,-0.0013,-3.8704,-92
"215","SMC03984","SMC03984_06/18/12_1",2012-06-18,0.919787625,1.024797919,0,-0.0167,-0.0132,0,0,0.0088,0,0.57645,0,0.7027,0,0,0,0,-0.0546,0
"216","SMC04000","SMC04000_2012-07-30 00:00:00_1",2012-07-30,1.18133870348615,1.24229154353094,0,-0.00325,-0.0022,0,NA,NA,NA,0.1289,0,0.06075,0,0,0,0,4e-04,0
"217","SMC04008","SMC04008_2012-06-19 00:00:00_1",2012-06-19,0.585467302611353,0.663550134919856,0,0.1073,0.9387,-44,0,101.5857,-61,99.1639,-49.5,61.4025,0,26,37,0,-2.6318,-90
"218","SMC04175","SMC04175_2009-06-11 00:00:00_1",2009-06-11,0.831149531229538,0.742447851924707,-0.5,-0.08445,-0.11755,-32,NA,NA,NA,10.5554,-3,13.9781,0,0,0,-0.3933,-0.0629,-1
"219","SMC04204","SMC04204_07/11/12_1",2012-07-11,0.878227598,0.91970473,-31,-0.02,0,-9,NA,NA,NA,0.0071,-23,0.009,-0.0357,0,0,-0.509,0,-25
"220","SMC04239","SMC04239_2009-06-11 00:00:00_1",2009-06-11,1.04112151949434,1.16863399201993,-8,0.1765,0.1843,-24,NA,NA,NA,32.4393,0,33.06125,0,0,0,-0.0805,-0.0292,-1
"221","SMC04294","SMC04294_2013-07-11 00:00:00_1",2013-07-11,0.573995417306981,0.537961692404967,-15,-0.8035,-1.0988,-19,0,23.637,-9,34.6732,0.5,78.22975,0,47,48.5,-0.4916,-0.77455,-26.5
"222","SMC04308","SMC04308_2009-06-17 00:00:00_1",2009-06-17,0.773065667810897,0.711437788701013,52,-0.0242,-0.0391,-183,NA,NA,NA,116.9324,10,83.3925,-0.05045,14,2,-0.19615,-1.1574,-20.5
"223","SMC04383","SMC04383_06/09/10_1",2010-06-09,1.175953336,1.102503531,0,-0.00055,-0.00075,0,NA,NA,NA,-0.00235,0,-0.0065,0,0,0,0.0064,0.00275,0
"224","SMC04426","SMC04426_2011-07-25 00:00:00_1",2011-07-25,1.06427822834434,0.872339923951527,0,-0.00755,-0.0079,0,NA,NA,NA,-0.0065,0,-0.004,0,0,0,-0.004,0.0013,0
"225","SMC04682","SMC04682_2011-07-25 00:00:00_1",2011-07-25,0.897101249825657,0.637070645051821,3,0.0054,0.0617,-1,NA,NA,NA,0.1787,-1,0.2889,0,0,0.5,0,-0.0435,-0.5
"226","SMC04749","SMC04749_2009-06-23 00:00:00_1",2009-06-23,0.631633106887866,0.55495735541218,104.5,0.03125,0.06895,-188,-6,-18.7445,-12,34.9249,6,38.71795,-7e-04,-1,-10,-0.0219,-0.0025,-57
"227","SMC04756","SMC04756_07/07/10_1",2010-07-07,0.369182377,0.416029155,192.5,-0.1909,-0.1096,-137.5,NA,NA,NA,219.6119,-75.5,89.903,-1e-04,-159,-45,0.8908,13.49505,21
"228","SMC04806","SMC04806_2013-07-11 00:00:00_1",2013-07-11,0.700601045376187,0.669829538016139,-162,-0.002,-0.0579,18,-2,57.255,-27,112.3733,-22,36.8396,2e-04,62,123,-0.8251,0.2314,-35
"229","SMC04880","SMC04880_2012-06-06 00:00:00_1",2012-06-06,0.805417729282101,0.8481417065366,-5,0,5e-04,-10,NA,NA,NA,-0.0749,-41,-1.1,0,0,0,0,0,0
"230","SMC05146","SMC05146_2012-07-10 00:00:00_1",2012-07-10,0.844256496561217,0.809543700610897,1.5,0.0173,0.0393,-3,NA,NA,NA,0.3411,-3,-0.15755,0,0,0.5,5e-04,-0.38,-0.5
"231","SMC05199","SMC05199_2011-07-06 00:00:00_1",2011-07-06,0.936441823977349,0.973253045156808,-144,-0.09025,-0.18045,-1,NA,NA,NA,12.1592,0,21.00135,0,0,0,-0.082,-0.086,0
"232","SMC05230","SMC05230_2012-07-02 00:00:00_1",2012-07-02,0.355510210507364,0.380703214806291,132,-3.1855,-1.8355,-73.5,NA,NA,NA,2701.5905,12.5,2749.4026,3e-04,130.5,13,-17.5213,234.35235,-83
"233","SMC05296","SMC05296_2012-06-26 00:00:00_1",2012-06-26,1.12538663398764,1.02919476277993,0,0.2446,-0.01,0,0,11.249,-61,3.50905,0,-0.5946,0,0,0,0.0285,-0.67565,0
"234","SMC05402","SMC05402_2011-07-28 00:00:00_1",2011-07-28,0.933931619282047,0.890167728880791,0,-0.0972,-0.0246,-4,-1,15.4036,-2,1.5432,-3,1.2875,0,-1,-6,-0.1169,-0.0935,-3
"235","SMC05702","SMC05702_2010-06-07 00:00:00_1",2010-06-07,0.918026581638217,0.996655311760527,158.5,0.0677,0.49465,-186,1,67.0398,-8,106.9374,37.5,99.1572,0.02645,66.5,23.5,-1.8569,-1.60625,-45
"236","SMC05759","SMC05759_06/21/10_1",2010-06-21,0.628773991,0.585742424,-131,-0.40755,-0.5047,-2,NA,NA,NA,121.1835,-12,123.21985,0,0,0,-0.5453,1.6207,-11
